beer_id|Name|style|abv|brewery_id
76055|Lange Wapper: Belgian Uytzet|Belgian Pale Ale|5.5|24678
73738|Heavy Handed: Double Chocolate Stout|American Double / Imperial Stout|7.5|24678
65521|Vivant Brune|American Brown Ale|5|24678
69829|Sour Batch #1|Flanders Oud Bruin|8.5|24678
74771|India Pale Ale|American IPA|5.5|4558
24765|Tram Weizen|Hefeweizen|4.7|4558
24763|Tram Helles|Munich Helles Lager|4.7|4558
50204|Quentinius|Maibock / Helles Bock|6.3|4558
24764|Tram Märzen|Märzen / Oktoberfest|4.9|4558
303|King's Honey Amber Ale|American Amber / Red Ale|NA|97
301|Black Pearl Cream Ale|Cream Ale|5.3|97
51615|Harringtons Wobbly Boot|English Porter|5|9771
28569|Harrington's Ngahere Gold|Euro Strong Lager|7.5|9771
28572|Harrington's Premium Stout|English Stout|5|9771
50388|Wintertide|Winter Warmer|6.8|9771
28571|Harrington's Winter Warmer|Winter Warmer|5.5|9771
48437|Razor Back|English Bitter|5|9771
28574|Harrington's Gold Lager|Euro Strong Lager|6.5|9771
51337|Harringtons Classy Red|American Pale Ale (APA)|5.2|9771
28570|Harrington's Wheat Beer|American Pale Wheat Ale|5|9771
57069|Harrington's Lazy Summer Lager|Euro Pale Lager|5|9771
48629|The Rogue Hop|German Pilsener|5|9771
49840|Harrington's'Weiss Bier|Hefeweizen|5|9771
18287|Harringtons Dopplebock|Doppelbock|8|9771
18547|Harringtons Big John Special Reserve|Scotch Ale / Wee Heavy|6.5|9771
68036|Harrington's Belgium Tempest|Belgian Strong Pale Ale|8|9771
18553|Harringtons Hercules Strong Dark Ale|English Strong Ale|NA|9771
72850|Harringtons Strongman|American Double / Imperial Pilsner|6.5|9771
48773|Finest Lager|Dortmunder / Export Lager|5|9771
51342|Harringtons Clydesdale Stout|English Stout|5|9771
34911|Bayon Beer|American Adjunct Lager|NA|1885
12773|Black Panther Premium Stout|Foreign / Export Stout|8|1885
5194|Angkor Beer|American Adjunct Lager|5.5|1885
57438|Angkor Extra Stout|Foreign / Export Stout|8|1885
38346|Klang Beer|Euro Strong Lager|7|1885
23498|Milk Stout|Milk / Sweet Stout|3.2|11148
25644|Best Bitter|English Bitter|NA|11148
23499|Ruby Mild|English Dark Mild Ale|5.9|11148
42698|Zierholz Hopmeister|English Pale Ale|5|15740
52969|Zierholz Oktoberfest|Märzen / Oktoberfest|5.2|15740
51233|Zierholz German Ale|Kölsch|NA|15740
52984|Zierholz Pils|German Pilsener|NA|15740
52968|Zierholz Dunkelweizen|Dunkelweizen|NA|15740
55817|Zierholz Australian Steam Beer|California Common / Steam Beer|NA|15740
67478|Strawberry Ale|Fruit / Vegetable Beer|NA|22413
51237|Zierholz Amber Ale|Altbier|NA|15740
22562|Kempelier|Belgian Pale Ale|6|10930
57036|Pontchartrain Pilsner|German Pilsener|NA|22413
57208|Bayou Bock|Maibock / Helles Bock|NA|22413
65840|Saison|Saison / Farmhouse Ale|5.5|23034
65664|Blonde|Belgian Pale Ale|5|23034
44205|Champflower Ale|English Bitter|4.2|6559
30431|Western Glory|English Bitter|4.7|6559
15931|Somerset And Dorset Ale|English Bitter|4.4|6559
76504|Santa's Steaming Ale|Winter Warmer|5.5|6559
28185|Southern Bitter|English Bitter|3.7|6559
73980|Auburn|English Bitter|4.2|6559
40017|Captain Jack|English Bitter|4.5|6559
12648|Johnsons Single Bitter|English Bitter|4.8|6559
12650|Goldrush|English Bitter|5|6559
75627|Concorde|American IPA|4.6|6559
74009|Triumph Spitfire|English Dark Mild Ale|4.2|6559
38541|Wessex Sizzler|English Bitter|4.8|6559
15505|Norman's Conquest|English Strong Ale|7|6559
75626|Wessex Brue|English Brown Ale|4.3|6559
49681|Black Prince|English Dark Mild Ale|4|6559
30650|Brunel's Clifton Ale|English Bitter|4.3|6559
12649|Swift Hand|English Bitter|4.4|6559
40204|Norman's Conquest (Cask)|Old Ale|5|6559
36349|Merchant Navy|English Bitter|4.7|6559
39764|Paradisiac|Belgian Pale Ale|7.5|771
10023|La Suroît|Belgian Pale Ale|5|771
25867|Biere De Noel|Belgian Dark Ale|6|771
31940|La Duchesse D'Aiguillon|Belgian Strong Pale Ale|8|771
40213|Premier Baiser|Belgian Pale Ale|7|771
10344|La Gueze|Gueuze|8.5|771
18986|Petite Gueuze|Gueuze|8|771
47076|Éternel Péché|Fruit / Vegetable Beer|4|771
44701|Porter|English Porter|5|771
50138|Rur'Ale|American Blonde Ale|5|771
14840|La Gallante|Herbed / Spiced Beer|NA|771
40214|Bruxelles La Nuit|American Porter|5|771
45284|Érable Rouge|American Amber / Red Ale|5|771
52214|Douce Caresse|Fruit / Vegetable Beer|5|771
39377|1608.0|American Amber / Red Ale|5|771
40215|La Cinquième Saison|Saison / Farmhouse Ale|4.5|771
10044|Scotch Reserve|Scotch Ale / Wee Heavy|9|771
76865|Flandre Rouge|American Wild Ale|7|771
64006|L'Hivern'Ale|Belgian Pale Ale|7|771
27416|Malin Plaisir|Fruit / Vegetable Beer|7|771
4758|La Blanche Bio|Witbier|NA|771
6223|Reb' Ale|Dubbel|7.5|771
24125|1702.0|Witbier|5|771
4762|Blanche De Quebec|Witbier|4.1|771
52673|Bruxelles Le Jour|Belgian Pale Ale|5|771
2359|L'Érabière|Herbed / Spiced Beer|5|771
18984|Imperial Stout|American Double / Imperial Stout|8.5|771
33422|Place Du Marché Blonde|Belgian Pale Ale|5|771
58061|Estiv'Ale|Witbier|4.5|771
27974|Schoune Gueuze La Spontanée 2005|Gueuze|8|771
3974|Ambrée|American Amber / Red Ale|5.5|771
44822|Paradisiac Black And Tan|Black & Tan|5|771
29942|Maibock 900|Maibock / Helles Bock|7.2|2155
60107|Thorny Histle|Scottish Ale|3.7|2155
31295|Honeygo Lite|American Blonde Ale|3.6|2155
44868|Pershings Imperial Stout|Russian Imperial Stout|9.5|2155
34145|Murph's Porter|American Porter|6.1|2155
36523|Batch 1000|American Barleywine|NA|2155
65128|DPM Lager|Munich Dunkel Lager|NA|2155
15230|Daily Crisis IPA|English India Pale Ale (IPA)|6.1|2155
6227|Dark Horse Tres Blueberry Stout|American Stout|7.5|1471
24384|Charlotte|American Amber / Red Ale|5.7|2155
45350|Brewer's Assoc Of Maryland Festbier|Altbier|6.29|2155
31238|"""They Made Me Do It"" Blueberry Ale"|Fruit / Vegetable Beer|4.1|2155
54240|Percolator|American Amber / Red Ale|6.5|2155
14950|Highlander Heavy|Scotch Ale / Wee Heavy|9.8|2155
52515|Big Gunpowder Pale Ale|American Pale Ale (APA)|4|2155
15231|Winter Solstice Spiced Ale|Winter Warmer|6.5|2155
49760|Big Sue Dunkelweizen|Dunkelweizen|5.2|2155
55167|EJ's Pumpkin Ale|Pumpkin Ale|5.4|2155
15036|Spooners' Stout|Irish Dry Stout|4.5|2155
31474|Nut Brown Ale|English Brown Ale|NA|2155
20568|Go To Helles Lager|Munich Helles Lager|5|2155
42656|Hofmühl Hell|Munich Helles Lager|4.9|6130
42655|Hofmühl Kellergold|Keller Bier / Zwickel Bier|4.9|6130
60167|Hofmühl Dunkel|Munich Dunkel Lager|4.9|6130
53867|Hofmühl Weissbier|Hefeweizen|5.4|6130
62714|Equinox Extra XPA|American Amber / Red Ale|7.5|17980
